epoch,accuracy,loss,val_accuracy,val_loss
0,0.6033999919891357,0.6026898622512817,0.7522000074386597,0.5077630281448364
1,0.7598999738693237,0.4755645990371704,0.7856000065803528,0.4270334839820862
2,0.7955499887466431,0.42089346051216125,0.8238000273704529,0.39197608828544617
3,0.812749981880188,0.39548006653785706,0.8289999961853027,0.3747250437736511
4,0.8222000002861023,0.3796240985393524,0.8276000022888184,0.3655086159706116
5,0.8294000029563904,0.37109899520874023,0.8417999744415283,0.3584044575691223
6,0.8306499719619751,0.3647863566875458,0.8398000001907349,0.35399192571640015
7,0.8349499702453613,0.3578298091888428,0.8349999785423279,0.3532356321811676
8,0.834850013256073,0.35667943954467773,0.8438000082969666,0.3490930497646332
9,0.8377000093460083,0.3509504497051239,0.8482000231742859,0.3475963771343231
